Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline
2020,1,19393,WN
2020,1,19690,HA
2020,1,19790,DL
2020,1,19805,AA
2020,1,19930,AS
2020,1,19977,UA
2020,1,20304,OO
2020,1,20363,9E
2020,1,20366,EV
2020,1,20368,G4
2020,1,20378,YV
2020,1,20397,OH
2020,1,20398,MQ
2020,1,20409,B6
2020,1,20416,NK
2020,1,20436,F9
2020,1,20452,YX
2020,2,19393,WN
2020,2,19690,HA
2020,2,19790,DL
2020,2,19805,AA
2020,2,19930,AS
2020,2,19977,UA
2020,2,20304,OO
2020,2,20363,9E
2020,2,20366,EV
2020,2,20368,G4
2020,2,20378,YV
2020,2,20397,OH
2020,2,20398,MQ
2020,2,20409,B6
2020,2,20416,NK
2020,2,20436,F9
2020,2,20452,YX
2020,3,19393,WN
2020,3,19690,HA
2020,3,19790,DL
2020,3,19805,AA
2020,3,19930,AS
2020,3,19977,UA
2020,3,20304,OO
2020,3,20363,9E
2020,3,20366,EV
2020,3,20368,G4
2020,3,20378,YV
2020,3,20397,OH
2020,3,20398,MQ
2020,3,20409,B6
2020,3,20416,NK
2020,3,20436,F9
2020,3,20452,YX
2020,4,19393,WN
2020,4,19690,HA
2020,4,19790,DL
2020,4,19805,AA
2020,4,19930,AS
2020,4,19977,UA
2020,4,20304,OO
2020,4,20363,9E
2020,4,20366,EV
2020,4,20368,G4
2020,4,20378,YV
2020,4,20397,OH
2020,4,20398,MQ
2020,4,20409,B6
2020,4,20416,NK
2020,4,20436,F9
2020,4,20452,YX
2020,5,19393,WN
2020,5,19690,HA
2020,5,19790,DL
2020,5,19805,AA
2020,5,19930,AS
2020,5,19977,UA
2020,5,20304,OO
2020,5,20363,9E
2020,5,20366,EV
2020,5,20368,G4
2020,5,20378,YV
2020,5,20397,OH
2020,5,20398,MQ
2020,5,20409,B6
2020,5,20416,NK
2020,5,20436,F9
2020,5,20452,YX
2020,6,19393,WN
2020,6,19690,HA
2020,6,19790,DL
2020,6,19805,AA
2020,6,19930,AS
2020,6,19977,UA
2020,6,20304,OO
2020,6,20363,9E
2020,6,20366,EV
2020,6,20368,G4
2020,6,20378,YV
2020,6,20397,OH
2020,6,20398,MQ
2020,6,20409,B6
2020,6,20416,NK
2020,6,20436,F9
2020,6,20452,YX
2020,7,19393,WN
2020,7,19690,HA
2020,7,19790,DL
2020,7,19805,AA
2020,7,19930,AS
2020,7,19977,UA
2020,7,20304,OO
2020,7,20363,9E
2020,7,20366,EV
2020,7,20368,G4
2020,7,20378,YV
2020,7,20397,OH
2020,7,20398,MQ
2020,7,20409,B6
2020,7,20416,NK
2020,7,20436,F9
2020,7,20452,YX
2020,8,19393,WN
2020,8,19690,HA
2020,8,19790,DL
2020,8,19805,AA
2020,8,19930,AS
2020,8,19977,UA
2020,8,20304,OO
2020,8,20363,9E
2020,8,20366,EV
2020,8,20368,G4
2020,8,20378,YV
2020,8,20397,OH
2020,8,20398,MQ
2020,8,20409,B6
2020,8,20416,NK
2020,8,20436,F9
2020,8,20452,YX
2020,9,19393,WN
2020,9,19690,HA
2020,9,19790,DL
2020,9,19805,AA
2020,9,19930,AS
2020,9,19977,UA
2020,9,20304,OO
2020,9,20363,9E
2020,9,20366,EV
2020,9,20368,G4
2020,9,20378,YV
2020,9,20397,OH
2020,9,20398,MQ
2020,9,20409,B6
2020,9,20416,NK
2020,9,20436,F9
2020,9,20452,YX
2020,10,19393,WN
2020,10,19690,HA
2020,10,19790,DL
2020,10,19805,AA
2020,10,19930,AS
2020,10,19977,UA
2020,10,20304,OO
2020,10,20363,9E
2020,10,20368,G4
2020,10,20378,YV
2020,10,20397,OH
2020,10,20398,MQ
2020,10,20409,B6
2020,10,20416,NK
2020,10,20436,F9
2020,10,20452,YX
2020,11,19393,WN
2020,11,19690,HA
2020,11,19790,DL
2020,11,19805,AA
2020,11,19930,AS
2020,11,19977,UA
2020,11,20304,OO
2020,11,20363,9E
2020,11,20368,G4
2020,11,20378,YV
2020,11,20397,OH
2020,11,20398,MQ
2020,11,20409,B6
2020,11,20416,NK
2020,11,20436,F9
2020,11,20452,YX
2020,12,19393,WN
2020,12,19690,HA
2020,12,19790,DL
2020,12,19805,AA
2020,12,19930,AS
2020,12,19977,UA
2020,12,20304,OO
2020,12,20363,9E
2020,12,20368,G4
2020,12,20378,YV
2020,12,20397,OH
2020,12,20398,MQ
2020,12,20409,B6
2020,12,20416,NK
2020,12,20436,F9
2020,12,20452,YX
