Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline
2013,1,19393,WN
2013,1,19690,HA
2013,1,19790,DL
2013,1,19805,AA
2013,1,19930,AS
2013,1,19977,UA
2013,1,20304,OO
2013,1,20355,US
2013,1,20363,9E
2013,1,20366,EV
2013,1,20378,YV
2013,1,20398,MQ
2013,1,20409,B6
2013,1,20436,F9
2013,1,20437,FL
2013,1,21171,VX
2013,2,19393,WN
2013,2,19690,HA
2013,2,19790,DL
2013,2,19805,AA
2013,2,19930,AS
2013,2,19977,UA
2013,2,20304,OO
2013,2,20355,US
2013,2,20363,9E
2013,2,20366,EV
2013,2,20378,YV
2013,2,20398,MQ
2013,2,20409,B6
2013,2,20436,F9
2013,2,20437,FL
2013,2,21171,VX
2013,3,19393,WN
2013,3,19690,HA
2013,3,19790,DL
2013,3,19805,AA
2013,3,19930,AS
2013,3,19977,UA
2013,3,20304,OO
2013,3,20355,US
2013,3,20363,9E
2013,3,20366,EV
2013,3,20378,YV
2013,3,20398,MQ
2013,3,20409,B6
2013,3,20436,F9
2013,3,20437,FL
2013,3,21171,VX
2013,4,19393,WN
2013,4,19690,HA
2013,4,19790,DL
2013,4,19805,AA
2013,4,19930,AS
2013,4,19977,UA
2013,4,20304,OO
2013,4,20355,US
2013,4,20363,9E
2013,4,20366,EV
2013,4,20378,YV
2013,4,20398,MQ
2013,4,20409,B6
2013,4,20436,F9
2013,4,20437,FL
2013,4,21171,VX
2013,5,19393,WN
2013,5,19690,HA
2013,5,19790,DL
2013,5,19805,AA
2013,5,19930,AS
2013,5,19977,UA
2013,5,20304,OO
2013,5,20355,US
2013,5,20363,9E
2013,5,20366,EV
2013,5,20378,YV
2013,5,20398,MQ
2013,5,20409,B6
2013,5,20436,F9
2013,5,20437,FL
2013,5,21171,VX
2013,6,19393,WN
2013,6,19690,HA
2013,6,19790,DL
2013,6,19805,AA
2013,6,19930,AS
2013,6,19977,UA
2013,6,20304,OO
2013,6,20355,US
2013,6,20363,9E
2013,6,20366,EV
2013,6,20378,YV
2013,6,20398,MQ
2013,6,20409,B6
2013,6,20436,F9
2013,6,20437,FL
2013,6,21171,VX
2013,7,19393,WN
2013,7,19690,HA
2013,7,19790,DL
2013,7,19805,AA
2013,7,19930,AS
2013,7,19977,UA
2013,7,20304,OO
2013,7,20355,US
2013,7,20363,9E
2013,7,20366,EV
2013,7,20378,YV
2013,7,20398,MQ
2013,7,20409,B6
2013,7,20436,F9
2013,7,20437,FL
2013,7,21171,VX
2013,8,19393,WN
2013,8,19690,HA
2013,8,19790,DL
2013,8,19805,AA
2013,8,19930,AS
2013,8,19977,UA
2013,8,20304,OO
2013,8,20355,US
2013,8,20363,9E
2013,8,20366,EV
2013,8,20378,YV
2013,8,20398,MQ
2013,8,20409,B6
2013,8,20436,F9
2013,8,20437,FL
2013,8,21171,VX
2013,9,19393,WN
2013,9,19690,HA
2013,9,19790,DL
2013,9,19805,AA
2013,9,19930,AS
2013,9,19977,UA
2013,9,20304,OO
2013,9,20355,US
2013,9,20363,9E
2013,9,20366,EV
2013,9,20378,YV
2013,9,20398,MQ
2013,9,20409,B6
2013,9,20436,F9
2013,9,20437,FL
2013,9,21171,VX
2013,10,19393,WN
2013,10,19690,HA
2013,10,19790,DL
2013,10,19805,AA
2013,10,19930,AS
2013,10,19977,UA
2013,10,20304,OO
2013,10,20355,US
2013,10,20363,9E
2013,10,20366,EV
2013,10,20378,YV
2013,10,20398,MQ
2013,10,20409,B6
2013,10,20436,F9
2013,10,20437,FL
2013,10,21171,VX
2013,11,19393,WN
2013,11,19690,HA
2013,11,19790,DL
2013,11,19805,AA
2013,11,19930,AS
2013,11,19977,UA
2013,11,20304,OO
2013,11,20355,US
2013,11,20363,9E
2013,11,20366,EV
2013,11,20378,YV
2013,11,20398,MQ
2013,11,20409,B6
2013,11,20436,F9
2013,11,20437,FL
2013,11,21171,VX
2013,12,19393,WN
2013,12,19690,HA
2013,12,19790,DL
2013,12,19805,AA
2013,12,19930,AS
2013,12,19977,UA
2013,12,20304,OO
2013,12,20355,US
2013,12,20363,9E
2013,12,20366,EV
2013,12,20378,YV
2013,12,20398,MQ
2013,12,20409,B6
2013,12,20436,F9
2013,12,20437,FL
2013,12,21171,VX
