Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2010,1,19393,WN,90103,1780,215,0,88108,0,15957,3444,220060.0,0.019755169084270226,0.0023861580635494936,0.18110727743224225,0.0390883915194988,2.4976165614927135
2010,1,19690,HA,5734,4,5,0,5725,0,752,61,18524.0,0.0006975933031042902,0.0008719916288803627,0.131353711790393,0.010655021834061135,3.2356331877729256
2010,1,19704,CO,19651,103,28,0,19520,0,3339,780,31328.0,0.005241463538751209,0.001424863874611979,0.17105532786885247,0.039959016393442626,1.6049180327868853
2010,1,19790,DL,56998,1166,118,0,55714,0,9319,2352,39994.0,0.020456858135373172,0.0020702480788799605,0.1672649603331299,0.0422156011056467,0.7178447068959328
2010,1,19805,AA,46571,1156,130,0,45285,0,8143,2144,68764.0,0.02482231431577591,0.0027914367310128622,0.17981671635199292,0.047344595340620514,1.5184719001877
2010,1,19930,AS,10532,93,68,0,10371,0,1339,305,-38508.0,0.008830231674895557,0.006456513482719331,0.12911001832031627,0.029408928743611996,-3.7130459936361007
2010,1,19977,UA,27744,451,37,0,27256,0,4044,1230,-80134.0,0.01625576701268743,0.0013336216839677046,0.14837100088054006,0.045127678309363074,-2.9400498972703257
2010,1,20304,OO,48280,1466,224,0,46590,0,10565,3362,399315.0,0.03036454018227009,0.00463960231980116,0.22676540030049366,0.0721614080274737,8.570830650354154
2010,1,20355,US,33749,1012,84,0,32653,0,5862,1296,46340.0,0.02998607366144182,0.0024889626359299536,0.1795240866076624,0.03969007441888953,1.4191651609346767
2010,1,20363,9E,21875,898,91,0,20886,0,4921,1259,164493.0,0.04105142857142857,0.00416,0.23561237192377668,0.060279613137987166,7.87575409365125
2010,1,20366,EV,24385,962,59,0,23364,0,4261,1340,86235.0,0.03945048185359852,0.002419520196842321,0.18237459339154255,0.057353192946413285,3.690934771443246
2010,1,20374,XE,27351,727,72,0,26552,0,5763,1548,177735.0,0.026580380973273372,0.0026324448831852583,0.2170457969267852,0.0583006929798132,6.693846037963242
2010,1,20378,YV,18423,594,49,0,17780,0,3047,979,72945.0,0.03224230581338544,0.002659718829723715,0.17137232845894262,0.05506186726659167,4.102643419572553
2010,1,20398,MQ,36742,1401,132,0,35209,0,8456,2238,273900.0,0.03813074955092265,0.0035926188013717273,0.2401658666818143,0.06356329347609986,7.779260984407395
2010,1,20409,B6,16250,242,28,0,15980,0,3867,1510,121336.0,0.014892307692307693,0.001723076923076923,0.24198998748435543,0.09449311639549436,7.592991239048811
2010,1,20417,OH,11035,421,24,0,10590,0,2537,828,52338.0,0.03815133665609424,0.0021748980516538285,0.2395656279508971,0.07818696883852691,4.942209631728045
