Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline
2024,1,19393,WN
2024,1,19690,HA
2024,1,19790,DL
2024,1,19805,AA
2024,1,19930,AS
2024,1,19977,UA
2024,1,20304,OO
2024,1,20363,9E
2024,1,20368,G4
2024,1,20397,OH
2024,1,20398,MQ
2024,1,20409,B6
2024,1,20416,NK
2024,1,20436,F9
2024,1,20452,YX
2024,2,19393,WN
2024,2,19690,HA
2024,2,19790,DL
2024,2,19805,AA
2024,2,19930,AS
2024,2,19977,UA
2024,2,20304,OO
2024,2,20363,9E
2024,2,20368,G4
2024,2,20397,OH
2024,2,20398,MQ
2024,2,20409,B6
2024,2,20416,NK
2024,2,20436,F9
2024,2,20452,YX
2024,3,19393,WN
2024,3,19690,HA
2024,3,19790,DL
2024,3,19805,AA
2024,3,19930,AS
2024,3,19977,UA
2024,3,20304,OO
2024,3,20363,9E
2024,3,20368,G4
2024,3,20397,OH
2024,3,20398,MQ
2024,3,20409,B6
2024,3,20416,NK
2024,3,20436,F9
2024,3,20452,YX
2024,4,19393,WN
2024,4,19690,HA
2024,4,19790,DL
2024,4,19805,AA
2024,4,19930,AS
2024,4,19977,UA
2024,4,20304,OO
2024,4,20363,9E
2024,4,20368,G4
2024,4,20397,OH
2024,4,20398,MQ
2024,4,20409,B6
2024,4,20416,NK
2024,4,20436,F9
2024,4,20452,YX
2024,5,19393,WN
2024,5,19690,HA
2024,5,19790,DL
2024,5,19805,AA
2024,5,19930,AS
2024,5,19977,UA
2024,5,20304,OO
2024,5,20363,9E
2024,5,20368,G4
2024,5,20397,OH
2024,5,20398,MQ
2024,5,20409,B6
2024,5,20416,NK
2024,5,20436,F9
2024,5,20452,YX
2024,6,19393,WN
2024,6,19690,HA
2024,6,19790,DL
2024,6,19805,AA
2024,6,19930,AS
2024,6,19977,UA
2024,6,20304,OO
2024,6,20363,9E
2024,6,20368,G4
2024,6,20397,OH
2024,6,20398,MQ
2024,6,20409,B6
2024,6,20416,NK
2024,6,20436,F9
2024,6,20452,YX
2024,7,19393,WN
2024,7,19690,HA
2024,7,19790,DL
2024,7,19805,AA
2024,7,19930,AS
2024,7,19977,UA
2024,7,20304,OO
2024,7,20363,9E
2024,7,20368,G4
2024,7,20397,OH
2024,7,20398,MQ
2024,7,20409,B6
2024,7,20416,NK
2024,7,20436,F9
2024,7,20452,YX
2024,8,19393,WN
2024,8,19690,HA
2024,8,19790,DL
2024,8,19805,AA
2024,8,19930,AS
2024,8,19977,UA
2024,8,20304,OO
2024,8,20363,9E
2024,8,20368,G4
2024,8,20397,OH
2024,8,20398,MQ
2024,8,20409,B6
2024,8,20416,NK
2024,8,20436,F9
2024,8,20452,YX
2024,9,19393,WN
2024,9,19690,HA
2024,9,19790,DL
2024,9,19805,AA
2024,9,19930,AS
2024,9,19977,UA
2024,9,20304,OO
2024,9,20363,9E
2024,9,20368,G4
2024,9,20397,OH
2024,9,20398,MQ
2024,9,20409,B6
2024,9,20416,NK
2024,9,20436,F9
2024,9,20452,YX
2024,10,19393,WN
2024,10,19690,HA
2024,10,19790,DL
2024,10,19805,AA
2024,10,19930,AS
2024,10,19977,UA
2024,10,20304,OO
2024,10,20363,9E
2024,10,20368,G4
2024,10,20397,OH
2024,10,20398,MQ
2024,10,20409,B6
2024,10,20416,NK
2024,10,20436,F9
2024,10,20452,YX
2024,11,19393,WN
2024,11,19690,HA
2024,11,19790,DL
2024,11,19805,AA
2024,11,19930,AS
2024,11,19977,UA
2024,11,20304,OO
2024,11,20363,9E
2024,11,20368,G4
2024,11,20397,OH
2024,11,20398,MQ
2024,11,20409,B6
2024,11,20416,NK
2024,11,20436,F9
2024,11,20452,YX
2024,12,19393,WN
2024,12,19690,HA
2024,12,19790,DL
2024,12,19805,AA
2024,12,19930,AS
2024,12,19977,UA
2024,12,20304,OO
2024,12,20363,9E
2024,12,20368,G4
2024,12,20397,OH
2024,12,20398,MQ
2024,12,20409,B6
2024,12,20416,NK
2024,12,20436,F9
2024,12,20452,YX
